SKU,ITEMID,DESCRIPTION,VENDOR,CAT,QUANTITY,PRICE,WEIGHT,SIZE,UNIT,SUB-CATEGORY,STATUS,UPC
133627,USB2AA2M,StarTech Cable USB2AA2M 2m USB 2.0 A to A M M Black Retail,StarTech.com,CB, 0,5.07,0.18,EA,LB,CBE,ACTIVE,065030845441
133628,PCIUSB3S4,StarTech PCIUSB3S4 4 Port PCI SuperSpeed USB 3.0 Adapter Card with SATA SP4,StarTech.com,CC, 0,86.03,0.46,EA,LB,CCU,ACTIVE,065030849517
133645,TL-PA4010KIT,TP-Link Accessory TL-PA4010KIT AV600 Nano Powerline Adapter Starter Kit Retail,TP-Link,NT, 0,46.28,0.88,EA,LB,NTA,ACTIVE,845973032029
133882,RBC92-2U,Tripp Lite AC RBC92-2U 2U UPS Replacement Battery Cartridge f SmartPro UPS RTL,Tripp-Lite,AC, 0,163.47,13.80,EA,LB,AC,ACTIVE,NA
133953,I210T1,Intel I210-T1 Pro 1000 PT Ethernet Server Adapter PCIE Low profile Retail,Intel,NT, 0,48.79,0.30,EA,LB,NTV,ACTIVE,735858257817
133958,I210T1BLK,Intel I210T1BLK Pro 1000 PT Ethernet Server Adapter PCIE Low Profile Bulk,Intel,NT, 0,47.95,0.20,EA,LB,NTV,ACTIVE,735858257831
134103,WIRC6CMPBLU,StarTech WIRC6CMPBLU 1000feet Bulk Roll of Blue CMP Cat6e Solid UTP Cable RTL,StarTech.com,CB, 0,635.64,36.95,EA,LB,CBN,ACTIVE,065030849272
134105,UUSBOTG,StarTech UUSBOTG 4in Micro USB to USB OTG Host Adapter M F Retail,StarTech.com,AC, 0,6.44,0.05,EA,LB,AC,ACTIVE,065030848381
134109,SFPCMM1M,StarTech SFPCMM1M 1m SFP+ 10-Gigabit Ethernet Twinax Direct Attach Cable RTL,StarTech.com,CB, 0,45.37,0.18,EA,LB,CBE,ACTIVE,065030849616
134110,SFPCMM5M,StarTech SFPCMM5M 5m SFP+ 10-Gigabit Ethernet Twinax Direct Attach Cable RTL,StarTech.com,CB, 0,72.38,0.42,EA,LB,CBE,ACTIVE,065030849586
134111,SFPCMM2M,StarTech SFPCMM2M 2m SFP+ 10-Gigabit Ethernet Twinax Direct Attach Cable RTL,StarTech.com,CB, 0,51.48,0.24,EA,LB,CBE,ACTIVE,065030849609
134112,SFPCMM3M,StarTech SFPCMM3M 3m SFP+ 10-Gigabit Ethernet Twinax Direct Attach Cable RTL,StarTech.com,CB, 0,56.14,0.29,EA,LB,CBE,ACTIVE,065030849593
134113,CN-GP1021-S3,SIIG Network Card Single port DP Gigabit Ethernet PCIe adapter Brown Box,SIIG,NT, 0,30.10,0.50,EA,LB,NTV,ACTIVE,662774016948
134127,S45PATCH50BL,StarTech Cable S45PATCH50BL 50ft Cat5e Blue Snagless Shielded RJ45 F UTP Patch,StarTech.com,CB, 0,25.13,1.43,EA,LB,CBN,ACTIVE,065030799973
134128,S45PATCH75BL,StarTech Cable S45PATCH75BL 75ft Cat5e Blue Snagless Shielded RJ45 F UTP Patch,StarTech.com,CB, 0,38.57,1.96,EA,LB,CBN,ACTIVE,065030799980
134132,2280000-R,Adaptec 2280000-R 0.8m RA miniSAS SCSI SFF-8643 to 4 x1Serial Fan-Out Cable,Adaptec,CB, 9,30.80,1.00,EA,LB,CBI,ACTIVE,760884157060
134234,FUPCRPSCAGE,Intel Accessory FUPCRPSCAGE Redundant Power Supply Cage Retail,Intel,AC, 0,73.58,6.61,EA,LB,AC,ACTIVE,735858235891
134328,RM24100-L2,Chenbro RM RM24100-L2 2U 18inch 2.5 3.5HDD USB 2.0 ATX Server Chassis Retail,Chenbro,CS, 13,160.72,40.00,EA,LB,CSR,ACTIVE,808613402378
134331,RM24200-L2,Chenbro RM RM24200-L2 2U 18inch 2.5 3.5HDD USB 2.0 m-ATX Server Chassis RTL,Chenbro,CS, 0,163.10,28.80,EA,LB,CSR,ACTIVE,NA
134410,THINTOS15,Startech Cable THINTOS15 15 ft Thin Toslink Digital Optical SPDIF Audio Cable,StarTech.com,CB, 0,6.28,0.05,EA,LB,CBE,ACTIVE,065030849623
134411,PYO2LSATA,StarTech Cable PYO2LSATA 6in Latching SATA Power Y Splitter Cable Adapter M F,StarTech.com,CB, 92,5.11,0.11,EA,LB,CBI,ACTIVE,065030849579
134413,PXTC14C156,Startech Cable PXTC14C156 6ft 14 AWG Computer Power Cord IEC C14 to IEC C15,StarTech.com,CB, 0,17.88,0.70,EA,LB,CBE,ACTIVE,065030849524
134414,PXTC14C153,Startech Cable PXTC14C153 3ft 14 AWG Computer Power Cord IEC C14 to IEC C15,StarTech.com,CB, 0,12.01,0.41,EA,LB,CBE,ACTIVE,065030849531
134416,PXT10112,StarTech Cable PXT10112 12ft 14AWG Computer Power Cord NEMA5-15P to C13 Black,StarTech.com,CB, 0,8.24,0.96,EA,LB,CBE,ACTIVE,065030849647
134417,HDMM1,StarTech Cable HDMM1 1ft High Speed HDMI to HDMI M M Black Retail,StarTech.com,CB, 0,8.24,0.10,EA,LB,CBE,ACTIVE,065030849807
134418,PAC1013,StarTech Cable PAC1013 3ft Power Extension Cord NEMA 5-15R to NEMA 5-15P RTL,StarTech.com,CB, 0,6.82,0.15,EA,LB,CBE,ACTIVE,065030849678
134454,RLC-084,ViewSonic Accessory RLC-084 PJ Lamp for PJD6345 6344W Replacement Lamp Module,ViewSonic,AC, 0,163.84,1.00,EA,LB,PJA,ACTIVE,766907669411
134456,RLC-081,ViewSonic Accessory RLC-081 PJ Lamp for PJD7333 7533w Replacement Lamp Module,ViewSonic,AC, 0,335.97,1.00,EA,LB,PJA,ACTIVE,766907666519
134457,RLC-080,ViewSonic Accessory RLC-080 PJ Lamp for PJD8333S 8633WS Replacement Lamp Module,ViewSonic,AC, 0,187.49,1.00,EA,LB,PJA,ACTIVE,766907666311
134458,RLC-079,ViewSonic Accessory RLC-079 PJ Lamp for PJD7820HD Replacement Lamp Module RTL,ViewSonic,AC, 0,169.44,1.00,EA,LB,PJA,ACTIVE,766907664416
134471,PJD8353S,ViewSonic Projector PJD8353S XGA 2600 Lumens 10000:1 1024x768 3D HDMI Retail,ViewSonic,PJ, 0,1319.70,27.32,EA,LB,PJ,ACTIVE,766907671513
134474,PJ-PEN-003,Viewsonic PJ PJ-PEN-003 Interactive package for PJD8353s 8653ws IR camera WH,ViewSonic,PJ, 0,354.02,1.50,EA,LB,PJ,ACTIVE,766907697315
134524,TX-606-U3,APEX TX-606-U3 mATX Mini Tower BK 300W 2 1 (5) Bays USB 3.0 HD AUDIO FAN,Apex Computer Technology,CS, 0,77.99,14.00,EA,LB,CSM,ACTIVE,835712006572
134575,KVR16N11S8H/4,Kingston KVR16N11S8H 4 4G DDR3 1600 Non-ECC CL11 DIMM SRx8 STD Height 30mm,Kingston,ME, 0,38.39,0.10,EA,LB,MDG,ACTIVE,740617216554
134577,SS-500L1U,Seasonic Power Supply SS-500L1U 500W 80 Plus Gold EPS12V 1U Low THD Retail,Seasonic,PS, 1,129.87,6.00,EA,LB,PSS,ACTIVE,NA
134683,AOC-SGP-I4,Supermicro I O Cards AOC-SGP-I4 4Port Gigabit Ethernet i350 PCIE2.1 RJ45 RTL,Supermicro,IO, 0,238.41,1.00,EA,LB,IO,ACTIVE,672042106226
134767,B75H2-TI(1.0A) HDMI/LVDS,ECS Motherboard B75H2-TI(1.0A) Thin M-ITX S1155 DDR3 2xHDMI Dual monitor Retail,Elitegroup Computer Systems,MB, 0,93.94,1.35,EA,LB,MB9,ACTIVE,881038035482
134771,C6PATCH7RD,StarTech Cable C6PATCH7RD 7ft Cat6 Molded RJ45 UTP Gigabit Cat6 Patch Red ETL,StarTech.com,CB, 0,5.70,0.28,EA,LB,CBN,ACTIVE,065030809221
134772,C6PATCH3RD,Startech C6PATCH3GR 3ft Cat6 Molded RJ45 UTP Gigabit Patch Cable ETL Red RTL,StarTech.com,CB, 0,4.91,0.15,EA,LB,CBN,ACTIVE,065030809214
134773,C6PATCH10RD,Startech Cable C6PATCH10RD 10ft Cat6 Molded RJ45 UTP Gigabit Patch ETL Red RTL,StarTech.com,CB, 0,6.22,0.31,EA,LB,CBN,ACTIVE,065030831178
134910,50FIBLCST1,Startech Cable 50FIBLCST1 1m Multimode 50 125 Duplex Fiber Patch LC - ST RTL,StarTech.com,CB, 0,14.70,0.19,EA,LB,CBE,ACTIVE,065030849739
134911,UUSBOTGADAP,StarTech UUSBOTGADAP Micro USB OTG to USB Adapter M F Retail,StarTech.com,AC, 0,6.30,0.04,EA,LB,AC,ACTIVE,065030849630
134912,50FIBLCST10,Startech Cable 50FIBLCST10 10m Multimode 50 125 Duplex Fiber Patch LC - ST RTL,StarTech.com,CB, 0,24.22,0.57,EA,LB,CBE,ACTIVE,065030849722
